Название аптеки,Адрес,Телефон,Время работы
Белфармация Аптека N54 (филиал 1),"Минск-Октябрьский, пос. Сокол, ул. Барамзиной, 12А",(017) 2434923,"выходной, пн.; 10.30-18.30, вт.; 10.30-18.30, ср.; 10.30-18.30, чт.; 10.30-18.30, пт.; 10.30-18.30, сб.; выходной, вс.",
Белфармация Аптека N13 (филиал 4),"Минск-Московский, пр-т Независимости, 3-1, ТЦ Столица, верхний уровень",(017) 2150811,"выходной, пн.; 10.30-18.30, вт.; 10.30-18.30, ср.; 10.30-18.30, чт.; 10.30-18.30, пт.; 10.30-18.30, сб.; выходной, вс.",
Добрыя Леки Аптека N51 ООО Аптека групп Центр,"Минск-Фрунзенский, ул. Неманская, 21-120, маг. Дионис",моб. 5355757,"выходной, пн.; 10.30-18.30, вт.; 10.30-18.30, ср.; 10.30-18.30, чт.; 10.30-18.30, пт.; 10.30-18.30, сб.; выходной, вс.",
Гродненское РУП Фармация Аптека N37,"Лида, д. Ваверка, ул. Центральная, 9А-1, маг. Родны Кут",(0154) 541634,"выходной, пн.; 10.30-18.30, вт.; 10.30-18.30, ср.; 10.30-18.30, чт.; 10.30-18.30, пт.; 10.30-18.30, сб.; выходной, вс.",
Новамедика Аптека N26,"Минск-Октябрьский, ул. Брестская, 75",(017) 2761181,"выходной, пн.; 10.30-18.30, вт.; 10.30-18.30, ср.; 10.30-18.30, чт.; 10.30-18.30, пт.; 10.30-18.30, сб.; выходной, вс.",
Белфармация Аптека N8 (филиал 2),"Минск-Октябрьский, ул. Воронянского, 50/1, 38-я городская пол-ка, 1 этаж, пом.15",(017) 2316149,"выходной, пн.; 10.30-18.30, вт.; 10.30-18.30, ср.; 10.30-18.30, чт.; 10.30-18.30, пт.; 10.30-18.30, сб.; выходной, вс.",
Медтехника УП Магазин Оптика г. Мосты,"Мосты, пл. Ленина, 2",(01515) 65895,"выходной, пн.; 10.30-18.30, вт.; 10.30-18.30, ср.; 10.30-18.30, чт.; 10.30-18.30, пт.; 10.30-18.30, сб.; выходной, вс.",
Минская Фармация ЦРА N16,"Борисов, ул. Трусова, 43",(01777) 51004,"выходной, пн.; 10.30-18.30, вт.; 10.30-18.30, ср.; 10.30-18.30, чт.; 10.30-18.30, пт.; 10.30-18.30, сб.; выходной, вс.",
Доктор Время ООО Аптека N8,"Минск-Заводской, ул. Голодеда, 21, к. 1",+375173641154,"выходной, пн.; 10.30-18.30, вт.; 10.30-18.30, ср.; 10.30-18.30, чт.; 10.30-18.30, пт.; 10.30-18.30, сб.; выходной, вс.",
Добрыя Леки-Эканом Аптека N10 ЗАО Аптека групп Юг,"Могилев, пр-т Витебский, 25",моб. 5355757,"выходной, пн.; 10.30-18.30, вт.; 10.30-18.30, ср.; 10.30-18.30, чт.; 10.30-18.30, пт.; 10.30-18.30, сб.; выходной, вс.",
Искамед ООО Аптека N13,"Гомель, пр-т Речицкий, 4-5",(0232) 208091,"выходной, пн.; 10.30-18.30, вт.; 10.30-18.30, ср.; 10.30-18.30, чт.; 10.30-18.30, пт.; 10.30-18.30, сб.; выходной, вс.",
Планета Здоровья Аптека N4 ООО ДОКТОР ТАИР,"Могилев, ул. Первомайская, 12-134",+375222641858,"выходной, пн.; 10.30-18.30, вт.; 10.30-18.30, ср.; 10.30-18.30, чт.; 10.30-18.30, пт.; 10.30-18.30, сб.; выходной, вс.",
Моя Аптека ООО Аптека N56,"Мядель, ул. 17 Сентября, 15-14",(01797) 22446,"выходной, пн.; 10.30-18.30, вт.; 10.30-18.30, ср.; 10.30-18.30, чт.; 10.30-18.30, пт.; 10.30-18.30, сб.; выходной, вс.",
Гомельское УП Фармация Аптека N4/2,"Гомель, пос. Ченки, ул. Октябрьская, 113",(0232) 999024,"выходной, пн.; 10.30-18.30, вт.; 10.30-18.30, ср.; 10.30-18.30, чт.; 10.30-18.30, пт.; 10.30-18.30, сб.; выходной, вс.",
Планета Здоровья Аптека N4 Белтрейдсервис ООО,"Солигорск, ул. Ковалева, 3, Магазин Соседи",+375174335183,"выходной, пн.; 10.30-18.30, вт.; 10.30-18.30, ср.; 10.30-18.30, чт.; 10.30-18.30, пт.; 10.30-18.30, сб.; выходной, вс.",
Добрыя Леки Аптека N35 ООО Аптека групп Запад,"Лида, ул. Советская, 25-4",моб. 5355757,"выходной, пн.; 10.30-18.30, вт.; 10.30-18.30, ср.; 10.30-18.30, чт.; 10.30-18.30, пт.; 10.30-18.30, сб.; выходной, вс.",
Минская Фармация Аптека N61,"Минск-Центральный, пос. Большевик, ул. Новопоселковая, 16",(017) 5081100,"выходной, пн.; 10.30-18.30, вт.; 10.30-18.30, ср.; 10.30-18.30, чт.; 10.30-18.30, пт.; 10.30-18.30, сб.; выходной, вс.",
Добрыя Леки Аптека N47 ЗАО Аптека групп Юг,"Калинковичи, ул. Советская, 104-2",моб. 5355757,"выходной, пн.; 10.30-18.30, вт.; 10.30-18.30, ср.; 10.30-18.30, чт.; 10.30-18.30, пт.; 10.30-18.30, сб.; выходной, вс.",
Планета Здоровья Аптека N31 ООО Космофарма,"Бобруйск, ул. Строителей, 88, маг. Санта",+375225736838,"выходной, пн.; 10.30-18.30, вт.; 10.30-18.30, ср.; 10.30-18.30, чт.; 10.30-18.30, пт.; 10.30-18.30, сб.; выходной, вс.",
